20160105040318.000000,0.180991,0.265362,0.312555,0.242180,0.180195,0.096162,0.067400,0.042485,0.024594,0.061469,
20160105055121.000000,0.180949,0.265301,0.312468,0.242109,0.180140,0.096130,0.067387,0.042474,0.024590,0.061460,
20160105073924.000000,0.181359,0.265789,0.312862,0.242315,0.180223,0.096134,0.067367,0.042479,0.024597,0.061439,
20160105092727.000000,0.180947,0.265293,0.312490,0.242151,0.180186,0.096166,0.067393,0.042476,0.024590,0.061460,
20160105111530.000000,0.180989,0.265328,0.312481,0.242111,0.180122,0.096099,0.067359,0.042465,0.024594,0.061444,
20160105130333.000000,0.181010,0.265393,0.312506,0.242135,0.180158,0.096132,0.067380,0.042473,0.024593,0.061461,
20160105163938.000000,0.180861,0.265149,0.312382,0.242102,0.180159,0.096155,0.067361,0.042456,0.024575,0.061411,
20160105182741.000000,0.181280,0.265694,0.312806,0.242320,0.180258,0.096167,0.067357,0.042468,0.024587,0.061409,
20160105201544.000000,0.181070,0.265485,0.312567,0.242152,0.180147,0.096104,0.067363,0.042470,0.024597,0.061453,
20160108024318.000000,0.180946,0.265261,0.312298,0.241936,0.179994,0.095978,0.067231,0.042400,0.024561,0.061314,
20160108043121.000000,0.181076,0.265389,0.312395,0.242013,0.180044,0.096016,0.067219,0.042385,0.024542,0.061268,
20160108061924.000000,0.181024,0.265345,0.312376,0.242006,0.180048,0.096008,0.067220,0.042385,0.024549,0.061289,
20160108080726.000000,0.180958,0.265241,0.312260,0.241940,0.180019,0.096018,0.067212,0.042379,0.024540,0.061258,
20160108095529.000000,0.181055,0.265344,0.312291,0.241939,0.179998,0.095989,0.067191,0.042373,0.024540,0.061249,
20160108114332.000000,0.180989,0.265296,0.312249,0.241899,0.179981,0.095969,0.067229,0.042395,0.024560,0.061315,
20160108133134.000000,0.180919,0.265175,0.312220,0.241934,0.180029,0.096011,0.067228,0.042389,0.024546,0.061285,
20160108185542.000000,0.181030,0.265371,0.312377,0.241982,0.180020,0.095971,0.067210,0.042391,0.024559,0.061290,
20160108204345.000000,0.180946,0.265225,0.312230,0.241895,0.179972,0.095958,0.067190,0.042370,0.024537,0.061256,
20160109003633.000000,0.181054,0.265411,0.312449,0.242079,0.180115,0.096026,0.067220,0.042387,0.024549,0.061275,
20160109022435.000000,0.181052,0.265411,0.312366,0.241991,0.180037,0.095980,0.067184,0.042369,0.024541,0.061246,
20160109041238.000000,0.180923,0.265092,0.312087,0.241797,0.179906,0.095928,0.067143,0.042347,0.024524,0.061197,
20160109060041.000000,0.181129,0.265455,0.312363,0.241958,0.179994,0.095941,0.067157,0.042360,0.024536,0.061223,
20160109093647.000000,0.181310,0.265744,0.312607,0.242090,0.180054,0.095944,0.067155,0.042361,0.024545,0.061235,
20160109112450.000000,0.181029,0.265330,0.312259,0.241894,0.179957,0.095925,0.067148,0.042350,0.024536,0.061226,
20160109131253.000000,0.180991,0.265278,0.312234,0.241888,0.179970,0.095949,0.067172,0.042365,0.024543,0.061243,
20160109150056.000000,0.181117,0.265407,0.312382,0.241998,0.180034,0.095982,0.067163,0.042360,0.024536,0.061217,
20160109164859.000000,0.180949,0.265147,0.312155,0.241870,0.179970,0.095975,0.067157,0.042352,0.024526,0.061200,
20160109183702.000000,0.180868,0.265072,0.312052,0.241803,0.179930,0.095964,0.067155,0.042350,0.024528,0.061199,
20160109202505.000000,0.180964,0.265222,0.312205,0.241877,0.179969,0.095956,0.067154,0.042354,0.024533,0.061219,
20160109221308.000000,0.180998,0.265250,0.312232,0.241909,0.179991,0.095969,0.067145,0.042349,0.024529,0.061198,
20160110001752.000000,0.180988,0.265225,0.312149,0.241833,0.179939,0.095943,0.067125,0.042333,0.024518,0.061179,
20160110020554.000000,0.180931,0.265138,0.312049,0.241738,0.179853,0.095896,0.067108,0.042327,0.024517,0.061167,
20160110035357.000000,0.181118,0.265472,0.312348,0.241938,0.179976,0.095938,0.067130,0.042345,0.024535,0.061200,
20160110054159.000000,0.180954,0.265193,0.312184,0.241896,0.180000,0.095979,0.067142,0.042342,0.024523,0.061186,
